<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
09.01.2020;11:05:00;110277;115218;107955;110726;75
09.01.2020;11:06:00;111095;115226;108028;111353;66
09.01.2020;11:07:00;113203;115162;108049;109231;64
09.01.2020;11:08:00;113080;115049;107910;109876;26
09.01.2020;11:09:00;113922;115277;107934;111608;67
09.01.2020;11:09:59;113166;114854;107960;113691;54
09.01.2020;11:11:00;109449;115133;107959;112971;75
09.01.2020;11:11:59;110077;115224;107903;111380;3
09.01.2020;11:13:00;113771;115200;107906;107906;83
09.01.2020;11:13:59;114085;115200;108073;111192;24
09.01.2020;11:15:00;114366;115298;107975;112710;16
09.01.2020;11:16:00;111438;115212;107907;109923;67
09.01.2020;11:17:00;114020;115284;107905;110400;17
09.01.2020;11:18:00;112195;115156;108057;109851;85
09.01.2020;11:19:00;113810;115251;108383;111138;85
09.01.2020;11:20:00;114038;115218;107921;113144;83
09.01.2020;11:21:00;110250;115240;107969;113552;89
09.01.2020;11:22:00;112804;115229;107966;112030;25
09.01.2020;11:23:00;111338;115239;108009;111307;73
09.01.2020;11:24:00;110974;115222;107923;108514;95
09.01.2020;11:25:00;114875;115224;107934;109421;4
09.01.2020;11:26:00;115219;115219;107911;114177;49
09.01.2020;11:27:00;107948;115259;107948;112821;34
09.01.2020;11:28:00;109905;115264;107938;111411;18
09.01.2020;11:29:00;108570;115295;107930;110482;32
09.01.2020;11:30:00;113689;115282;108014;112897;23
09.01.2020;11:31:00;109189;115156;108269;112610;80
09.01.2020;11:32:00;108135;115178;107946;113288;66
09.01.2020;11:33:00;108471;115280;107947;114634;19
09.01.2020;11:34:00;111852;115287;107911;108280;76
09.01.2020;11:35:00;108282;115218;108000;110603;91
09.01.2020;11:36:00;112792;115289;108128;109428;77
09.01.2020;11:37:00;112477;115267;108151;113726;11
09.01.2020;11:38:00;110236;115186;108060;114538;41
09.01.2020;11:39:00;115025;115248;107923;109475;18
09.01.2020;11:40:00;114477;115053;107971;109829;48
09.01.2020;11:41:00;113676;115257;108048;111448;98
09.01.2020;11:42:00;114164;115245;107928;113506;36
09.01.2020;11:43:00;113577;115283;107967;112345;12
09.01.2020;11:44:00;112745;115222;107958;108580;93
09.01.2020;11:45:00;112869;115251;108148;108838;53
09.01.2020;11:46:00;112815;114952;108127;114541;46
09.01.2020;11:47:00;108192;115261;107943;111711;81
09.01.2020;11:48:00;108589;115134;107921;110640;60
09.01.2020;11:49:00;108029;115066;108029;112301;65
09.01.2020;11:50:00;110528;115267;108121;109610;82
09.01.2020;11:51:00;109360;114960;108072;109722;59
09.01.2020;11:52:00;108568;115286;107977;112089;68
09.01.2020;11:53:00;113687;115132;107906;109074;9
09.01.2020;11:54:00;113003;115281;108043;108718;59
09.01.2020;11:54:59;109968;115237;107906;114184;25
09.01.2020;11:56:00;113104;115250;108127;112733;80
09.01.2020;11:56:59;113208;115265;107940;113964;21
09.01.2020;11:58:00;113537;115277;107919;113825;31
09.01.2020;11:58:59;110790;115153;108024;113522;8
09.01.2020;12:00:00;109534;115285;108036;113110;11
09.01.2020;12:01:00;111338;115254;108014;115254;80
09.01.2020;12:02:00;108225;115193;107917;111996;40
09.01.2020;12:03:00;111975;115142;108314;110645;72
09.01.2020;12:04:00;108771;115293;107979;112605;60
09.01.2020;12:05:00;110093;115292;107905;111516;23
09.01.2020;12:06:00;109724;115036;107916;110831;12
09.01.2020;12:07:00;109704;115296;108188;109135;81
09.01.2020;12:08:00;114050;115181;108041;110499;26
09.01.2020;12:09:00;113083;115259;107975;112184;34
09.01.2020;12:10:00;108589;115270;108428;113689;18
09.01.2020;12:11:00;114512;115249;108073;111315;41
09.01.2020;12:12:00;111738;115004;107914;113905;46
09.01.2020;12:13:00;111400;115175;107938;108076;53
09.01.2020;12:14:00;108828;115298;108013;110543;70
09.01.2020;12:15:00;110404;114922;107992;108421;43
09.01.2020;12:16:00;113985;115228;107909;108881;27
09.01.2020;12:17:00;109816;115280;107997;113906;53
09.01.2020;12:18:00;109836;115284;107924;112297;59
09.01.2020;12:18:59;113165;115256;107975;111875;52
09.01.2020;12:20:00;110241;115087;108122;108178;20
09.01.2020;12:20:59;109310;115211;108291;112099;38
09.01.2020;12:22:00;112566;115161;108170;109260;92
09.01.2020;12:22:59;115053;115215;107979;108281;75
09.01.2020;12:24:00;109964;115285;107916;108898;95
09.01.2020;12:24:59;110871;115088;108093;114352;62
09.01.2020;12:26:00;113771;115290;107949;115284;59
09.01.2020;12:26:59;109679;115164;107962;114512;91
09.01.2020;12:28:00;111959;115159;107906;110147;10
09.01.2020;12:28:59;113289;114376;107906;108647;76
09.01.2020;12:30:00;108128;115228;107904;113403;14
09.01.2020;12:31:00;112504;115253;107927;112665;28
09.01.2020;12:32:00;109516;115280;107932;109828;29
09.01.2020;12:33:00;110950;115223;107906;110933;26
09.01.2020;12:34:00;112344;115237;108063;112383;63
09.01.2020;12:35:00;109348;115217;108048;108695;41
09.01.2020;12:36:00;108182;115290;108131;114125;44
09.01.2020;12:37:00;108793;115063;107968;111510;81
09.01.2020;12:38:00;109777;115248;108007;109328;14
09.01.2020;12:39:00;109548;115216;108110;109574;72
09.01.2020;12:40:00;108177;115204;108042;112779;77
09.01.2020;12:41:00;114543;115291;108288;114027;54
09.01.2020;12:42:00;110884;114997;107908;108515;7
09.01.2020;12:43:00;111573;115016;107901;109237;3
09.01.2020;12:44:00;109657;115212;107973;109528;39
09.01.2020;12:45:00;114164;115282;107908;108858;35
09.01.2020;12:46:00;109958;115289;107917;113694;46
09.01.2020;12:47:00;108283;115290;108011;115268;69
09.01.2020;12:48:00;115085;115085;107947;108768;17
09.01.2020;12:49:00;108697;115257;108018;110953;60
09.01.2020;12:50:00;111218;114774;107914;108942;93
09.01.2020;12:51:00;109880;115246;108088;109081;59
09.01.2020;12:52:00;113363;115200;108088;111168;15
09.01.2020;12:53:00;114043;115238;107944;114064;53
09.01.2020;12:54:00;115268;115268;107903;112026;10
09.01.2020;12:55:00;113975;115015;108286;113235;41
09.01.2020;12:56:00;114665;115236;107911;112548;58
09.01.2020;12:57:00;109683;115236;108096;111007;41
09.01.2020;12:58:00;110984;115280;107909;110772;35
09.01.2020;12:59:00;108069;115291;107914;108334;16
09.01.2020;13:00:00;108102;115184;107955;109081;65
09.01.2020;13:01:00;112958;115006;107904;108987;67
09.01.2020;13:02:00;108327;115202;108074;112773;81
09.01.2020;13:03:00;110089;115043;108197;108825;85
09.01.2020;13:03:59;113034;114707;108050;111977;62
09.01.2020;13:05:00;109191;115172;108047;109972;92
09.01.2020;13:05:59;115026;115179;108026;108062;33
09.01.2020;13:07:00;109719;115188;108200;109830;53
09.01.2020;13:07:59;114452;115099;107943;113325;87
09.01.2020;13:09:00;113441;115240;107921;111935;44
09.01.2020;13:09:59;113753;115150;107999;115089;3
09.01.2020;13:11:00;112683;115011;107972;110729;92
09.01.2020;13:11:59;108953;114930;107957;110088;49
09.01.2020;13:13:00;113729;115299;107919;110303;92
09.01.2020;13:13:59;109403;114971;107923;114939;1
09.01.2020;13:15:00;110970;115299;108106;108656;65
09.01.2020;13:16:00;112225;115298;108218;112480;57
09.01.2020;13:17:00;107916;115242;107916;109025;26
09.01.2020;13:18:00;111833;114968;108104;114647;70
09.01.2020;13:20:00;109248;115245;107900;111674;12
09.01.2020;13:21:00;109756;115179;108015;111812;15
09.01.2020;13:22:00;108844;114840;107992;112992;68
09.01.2020;13:23:00;114687;115275;107923;113831;67
09.01.2020;13:24:00;113095;115192;107960;113871;43
09.01.2020;13:25:00;107971;114848;107971;114848;30
09.01.2020;13:26:00;109853;115267;108293;114360;54
09.01.2020;13:27:00;109682;115212;107961;110480;28
09.01.2020;13:28:00;113538;115299;107932;109278;64
09.01.2020;13:29:00;109347;115218;108024;109935;48
09.01.2020;13:31:00;110072;114883;108124;114788;66
09.01.2020;13:32:00;114874;115252;108306;114484;4
09.01.2020;13:33:00;111078;115028;107963;113977;66
09.01.2020;13:34:00;111734;115295;107998;114213;93
09.01.2020;13:35:00;113611;115267;107913;111430;14
09.01.2020;13:36:00;110614;115124;108144;110858;52
09.01.2020;13:37:00;108447;115159;108014;112321;77
09.01.2020;13:38:00;114580;115273;108087;110855;52
09.01.2020;13:39:00;109481;114759;107905;114718;74
09.01.2020;13:40:00;112899;115286;107927;112457;46
09.01.2020;13:41:00;111426;115101;108013;111957;2
09.01.2020;13:42:00;110448;115263;107903;110763;2
09.01.2020;13:43:00;109256;115035;108077;111505;13
09.01.2020;13:44:00;112267;115022;107921;111378;77
09.01.2020;13:45:00;112261;115259;108225;112085;88
09.01.2020;13:46:00;111603;115258;107972;109821;63
09.01.2020;13:47:00;114924;115188;107922;110711;11
09.01.2020;13:48:00;109171;115291;107901;107901;82
09.01.2020;13:48:59;110411;115288;107936;111037;59
09.01.2020;13:50:00;113624;115265;108098;112062;80
09.01.2020;13:50:59;109547;115132;107937;109587;81
09.01.2020;13:52:00;110201;115284;108028;111286;67
09.01.2020;13:52:59;114726;115290;107962;109167;23
09.01.2020;13:54:00;110739;115084;107903;108517;77
09.01.2020;13:54:59;110204;114992;107924;114606;76
09.01.2020;13:56:00;111736;115262;107997;112530;21
09.01.2020;13:56:59;108571;115191;107950;110149;98
09.01.2020;13:58:00;114102;115265;108014;108378;64
09.01.2020;13:58:59;114955;115216;107936;115029;79
09.01.2020;14:00:00;109041;115206;107935;113577;19
09.01.2020;14:01:00;111111;115172;108124;113745;7
09.01.2020;14:02:00;109466;115031;107921;111177;79
09.01.2020;14:03:00;112851;115215;107987;108324;35
09.01.2020;14:04:00;114506;114951;107993;113177;12
09.01.2020;14:05:00;109951;115030;107942;112384;64
09.01.2020;14:06:00;110403;115283;108110;112129;69
09.01.2020;14:07:00;110455;115200;107900;109095;84
09.01.2020;14:08:00;108357;115283;108031;108052;35
09.01.2020;14:09:00;110915;115247;107953;110503;10
09.01.2020;14:10:00;112937;115216;107917;107994;80
09.01.2020;14:11:00;111443;115206;107942;110789;62
09.01.2020;14:12:00;113990;115022;107919;110400;70
09.01.2020;14:13:00;110686;115106;107953;114304;97
09.01.2020;14:14:00;114542;115288;107900;108825;16
09.01.2020;14:15:00;114850;115122;107924;111515;25
09.01.2020;14:16:00;111826;114990;107915;108340;68
09.01.2020;14:17:00;108189;115239;108004;114139;56
09.01.2020;14:18:00;113222;115025;108011;112660;96
09.01.2020;14:19:00;110594;115082;107966;113893;27
09.01.2020;14:20:00;113822;115267;108123;108210;55
09.01.2020;14:21:00;108317;115223;107952;111965;74
09.01.2020;14:22:00;112182;115140;107906;114784;31
09.01.2020;14:23:00;111575;115289;108120;115133;27
09.01.2020;14:24:00;108599;115226;107947;110056;61
09.01.2020;14:25:00;113480;115282;108010;113868;2
09.01.2020;14:26:00;108386;114877;107948;114013;61
09.01.2020;14:27:00;109123;115195;108174;111201;13
09.01.2020;14:28:00;115250;115250;107990;114868;44
09.01.2020;14:29:00;110686;115145;108123;113035;61
09.01.2020;14:30:00;111652;115245;108061;115062;19
09.01.2020;14:31:00;113763;115292;108009;113013;72
09.01.2020;14:32:00;114965;115172;107963;114681;72
09.01.2020;14:33:00;111475;115205;108278;111344;98
09.01.2020;14:33:59;108342;115283;108123;114511;35
09.01.2020;14:35:00;108091;115176;107972;113165;55
09.01.2020;14:35:59;113508;115122;107957;113391;72
09.01.2020;14:37:00;108905;115161;108032;110484;1
09.01.2020;14:37:59;108924;115274;108032;115113;70
09.01.2020;14:39:00;111648;115226;107914;108549;66
09.01.2020;14:39:59;108214;115299;108214;114711;79
09.01.2020;14:41:00;113927;115260;108096;109650;67
09.01.2020;14:41:59;108693;115196;108028;109712;42
09.01.2020;14:43:00;111993;115257;108139;108746;67
09.01.2020;14:43:59;111488;115288;108094;110765;60
09.01.2020;14:45:00;113327;115270;108045;109297;80
09.01.2020;14:46:00;110786;115195;107921;111718;23
09.01.2020;14:47:00;110670;115083;108744;112389;85
09.01.2020;14:48:00;108316;115262;108049;110631;40
09.01.2020;14:49:00;113484;115252;108036;110815;97
09.01.2020;14:50:00;110557;115285;108042;111888;28
09.01.2020;14:51:00;111720;115226;108171;109312;23
09.01.2020;14:52:00;112924;115196;108630;108733;17
09.01.2020;14:53:00;110519;114956;108012;108745;35
09.01.2020;14:54:00;111751;115184;107979;114162;5
09.01.2020;14:55:00;112874;115295;107959;109508;12
09.01.2020;14:56:00;108901;115124;108033;114822;16
09.01.2020;14:57:00;113575;115280;107959;110287;73
09.01.2020;14:58:00;114597;115287;108056;111806;72
09.01.2020;14:59:00;112723;115222;108112;111347;64
09.01.2020;15:00:00;110282;115184;107904;111485;19
09.01.2020;15:01:00;108467;115070;108078;111087;86
09.01.2020;15:02:00;110928;115239;107931;114513;46
09.01.2020;15:03:00;109469;115291;107901;114067;61
09.01.2020;15:04:00;114977;115229;108086;113326;14
09.01.2020;15:05:00;114206;115242;108277;112381;42
09.01.2020;15:06:00;112247;115291;108027;109075;44
09.01.2020;15:07:00;107936;115298;107936;108873;40
09.01.2020;15:08:00;113596;115288;108119;110166;82
09.01.2020;15:09:00;111256;115167;108052;111321;16
09.01.2020;15:10:00;110029;115248;108145;113717;78
09.01.2020;15:11:00;110527;115243;108126;115135;96
09.01.2020;15:12:00;110972;115161;107995;111779;28
09.01.2020;15:13:00;108315;115289;107955;114565;62
09.01.2020;15:14:00;113734;115128;107932;112508;6
09.01.2020;15:15:00;112762;115184;108158;110219;26
09.01.2020;15:16:00;112508;115236;108120;110323;19
09.01.2020;15:17:00;110602;115202;107937;113570;18
09.01.2020;15:18:00;108466;115258;108030;112930;76
09.01.2020;15:18:59;108622;115207;107966;114222;23
09.01.2020;15:20:00;108993;115105;107983;111853;2
09.01.2020;15:20:59;112404;115058;107921;110416;36
09.01.2020;15:22:00;114424;115174;107930;112791;73
09.01.2020;15:22:59;114082;115208;107914;110808;5
09.01.2020;15:24:00;113235;115010;108125;114385;26
09.01.2020;15:24:59;108382;115177;108018;112953;78
09.01.2020;15:26:00;110983;115256;107936;115256;38
09.01.2020;15:26:59;110413;115227;107909;112418;98
09.01.2020;15:28:00;111195;114908;107901;111559;14
09.01.2020;15:28:59;113345;115240;107926;114106;25
09.01.2020;15:30:00;109997;115153;107984;114737;10
09.01.2020;15:31:00;110213;115276;108049;115064;44
09.01.2020;15:32:00;111332;114943;107978;111296;54
09.01.2020;15:33:00;111080;115185;107901;112950;22
09.01.2020;15:34:00;111636;114786;108310;108961;25
09.01.2020;15:35:00;111672;115034;107975;112151;7
09.01.2020;15:36:00;112227;115137;108235;111361;36
09.01.2020;15:37:00;109690;115093;108015;111560;50
09.01.2020;15:39:00;112759;115204;107922;107976;48
09.01.2020;15:40:00;108198;115101;107917;114842;14
09.01.2020;15:41:00;114311;115257;107901;114749;31
09.01.2020;15:42:00;112547;115157;107912;108289;48
09.01.2020;15:43:00;112392;115217;108214;112910;70
09.01.2020;15:44:00;113440;115162;107956;109689;69
09.01.2020;15:45:00;115284;115284;107922;112124;68
09.01.2020;15:46:00;111622;115227;107938;110003;70
09.01.2020;15:47:00;109883;114918;107944;113177;22
09.01.2020;15:48:00;113501;114974;107972;112988;36
09.01.2020;15:49:00;112947;115245;107920;114899;79
09.01.2020;15:50:00;112391;115287;107911;109630;30
09.01.2020;15:51:00;109589;115164;108093;109777;58
09.01.2020;15:52:00;111026;115130;107914;113764;67
09.01.2020;15:53:00;110429;115106;108124;109974;67
09.01.2020;15:54:00;113725;115244;107927;113115;76
09.01.2020;15:55:00;113057;115267;107947;108723;55
09.01.2020;15:56:00;108316;114859;107973;113034;11
09.01.2020;15:57:00;108012;115209;107930;111281;45
09.01.2020;15:58:00;115076;115091;108090;108245;88
09.01.2020;15:59:00;108701;115290;107956;107956;34
09.01.2020;16:00:00;109267;115223;108125;113309;36
09.01.2020;16:01:00;109323;115261;107968;108277;31
09.01.2020;16:02:00;109528;115246;107926;108692;97
09.01.2020;16:03:00;108292;115209;108030;110313;80
09.01.2020;16:03:59;115271;115287;107968;112563;12
09.01.2020;16:04:59;113631;115280;108373;113325;72
09.01.2020;16:06:00;110308;115173;107919;111157;29
09.01.2020;16:07:00;110069;115219;108403;111056;10
09.01.2020;16:07:59;113999;115258;107987;112829;74
09.01.2020;16:08:59;114183;115142;107954;112559;64
09.01.2020;16:10:00;113037;115294;107918;114599;86
09.01.2020;16:11:00;112371;115098;107941;110483;40
09.01.2020;16:11:59;109103;115164;107989;110344;79
09.01.2020;16:12:59;111489;115144;108017;108822;78
09.01.2020;16:14:00;111924;115261;107904;109889;1
09.01.2020;16:15:00;109056;115265;107996;109834;40
09.01.2020;16:15:59;108292;115077;108163;113090;64
09.01.2020;16:17:00;114208;115264;108138;113188;81
09.01.2020;16:18:00;115219;115299;108064;109482;70
09.01.2020;16:19:00;111015;114852;108026;110712;54
09.01.2020;16:19:59;114679;115000;108038;112913;39
09.01.2020;16:21:00;111098;115247;108053;112326;94
09.01.2020;16:22:00;111862;115186;108123;110421;37
09.01.2020;16:23:00;110639;115285;107969;109388;33
09.01.2020;16:23:59;115245;115245;107997;108190;20
09.01.2020;16:25:00;111534;115176;107916;114720;20
09.01.2020;16:26:00;108350;115276;108055;110615;82
09.01.2020;16:27:00;109206;115198;108499;113537;69
09.01.2020;16:27:59;113423;115140;108052;109824;46
09.01.2020;16:29:00;112349;114987;107996;113699;67
09.01.2020;16:30:00;112865;115233;108210;111561;46
09.01.2020;16:31:00;110858;115170;108098;111838;5
09.01.2020;16:32:00;109758;115254;108162;108411;54
09.01.2020;16:33:00;114750;115292;107950;111443;22
09.01.2020;16:34:00;115291;115291;108020;110834;61
09.01.2020;16:35:00;109804;115282;107943;109651;83
09.01.2020;16:36:00;108410;115292;108393;108732;46
09.01.2020;16:37:00;115025;115058;108041;111436;92
09.01.2020;16:38:00;113995;115240;107928;113062;12
09.01.2020;16:39:00;113784;115238;107935;111906;90
09.01.2020;16:40:00;114239;115282;108002;114321;82
09.01.2020;16:41:00;112228;114746;107905;109389;70
09.01.2020;16:42:00;112231;115241;107933;112616;56
09.01.2020;16:43:00;109095;114994;108066;112313;38
09.01.2020;16:44:00;114700;115214;107906;108957;93
09.01.2020;16:45:00;111020;115078;107968;111779;53
09.01.2020;16:46:00;109411;115220;107939;108953;14
09.01.2020;16:47:00;110670;115298;108197;111825;5
09.01.2020;16:48:00;114897;115134;108091;113992;85
09.01.2020;16:48:59;112358;115286;108103;108462;60
09.01.2020;16:49:59;108126;115277;108126;112667;19
09.01.2020;16:51:00;108600;115181;108089;114128;68
09.01.2020;16:52:00;108853;115234;107924;113561;21
09.01.2020;16:52:59;108344;115188;107954;112986;28
09.01.2020;16:53:59;109723;115129;107944;112252;3
09.01.2020;16:55:00;108544;115279;108035;109987;51
09.01.2020;16:56:00;108235;115065;108087;108582;98
09.01.2020;16:56:59;111066;115242;108040;109296;46
09.01.2020;16:57:59;108450;115149;107917;110564;16
09.01.2020;16:59:00;108423;115283;108056;108338;82
09.01.2020;17:00:00;111041;115113;107946;108088;71
09.01.2020;17:00:59;108417;115236;108048;111684;80
09.01.2020;17:02:00;111457;115279;107903;111489;88
09.01.2020;17:03:00;114930;115204;107943;113631;89
09.01.2020;17:04:00;111992;115225;108131;112857;60
09.01.2020;17:04:59;112613;115239;108321;108321;51
09.01.2020;17:06:00;111872;115165;108146;112711;64
09.01.2020;17:07:00;110452;115295;107959;113545;20
09.01.2020;17:08:00;112932;115281;108117;111113;38
09.01.2020;17:08:59;114309;115263;108127;111956;8
09.01.2020;17:10:00;113414;115193;108064;114044;52
09.01.2020;17:11:00;113678;115263;108064;115178;59
09.01.2020;17:12:00;108409;115246;108286;108589;21
09.01.2020;17:12:59;114843;115138;108014;110863;61
09.01.2020;17:14:00;109320;115293;108190;112276;15
09.01.2020;17:15:00;114354;115232;108102;113243;6
09.01.2020;17:16:00;110367;115227;108082;115227;37
09.01.2020;17:17:00;110694;114736;108156;112835;15
09.01.2020;17:18:00;112606;115260;107964;109929;42
09.01.2020;17:19:00;113557;115130;108134;108482;52
09.01.2020;17:20:00;111687;115135;108097;113592;41
09.01.2020;17:21:00;113048;115176;107942;108071;18
09.01.2020;17:22:00;109824;115282;107952;109972;62
09.01.2020;17:23:00;112854;115217;108040;114022;68
09.01.2020;17:24:00;114116;115089;107917;114529;55
09.01.2020;17:25:00;115231;115231;108068;109407;28
09.01.2020;17:26:00;109829;115202;107914;114598;10
09.01.2020;17:27:00;111057;115268;108031;108288;97
09.01.2020;17:28:00;109889;115232;107940;109930;36
09.01.2020;17:29:00;111125;115208;107995;109050;98
09.01.2020;17:30:00;111885;115284;108461;111314;63
09.01.2020;17:31:00;110224;115281;108186;110485;62
09.01.2020;17:32:00;114150;115234;108128;111879;64
09.01.2020;17:33:00;107954;115204;107954;111688;55
09.01.2020;17:33:59;108252;114988;107919;109489;86
09.01.2020;17:34:59;109279;115260;108086;110426;23
09.01.2020;17:36:00;110575;115295;107931;112937;76
09.01.2020;17:37:00;109891;115206;108442;111387;19
09.01.2020;17:37:59;111373;115189;108042;110569;78
09.01.2020;17:38:59;114464;115217;107963;114568;57
09.01.2020;17:40:00;112968;115105;107937;109655;24
09.01.2020;17:41:00;112674;115147;107994;113446;49
09.01.2020;17:41:59;108626;115113;107996;111840;19
09.01.2020;17:42:59;110103;115151;107997;112168;80
09.01.2020;17:44:00;108515;115260;108096;112463;69
09.01.2020;17:45:00;113476;115174;107931;109172;22
09.01.2020;17:45:59;112938;115038;107950;112988;71
09.01.2020;17:47:00;111686;115127;108150;110128;12
09.01.2020;17:48:00;114782;115277;108054;114455;74
09.01.2020;17:49:59;113485;115292;107921;111046;15
09.01.2020;17:51:00;109789;115287;108009;109869;10
09.01.2020;17:52:00;108222;115246;107934;110973;27
09.01.2020;17:53:00;110188;115177;108244;111352;29
09.01.2020;17:53:59;114532;115079;108255;110960;88
09.01.2020;17:55:00;108260;115269;107920;114250;89
09.01.2020;17:56:00;113321;115257;107954;111152;5
09.01.2020;17:57:00;110490;115286;108015;112004;40
09.01.2020;17:57:59;113303;115296;108019;109606;86
09.01.2020;17:59:00;115061;115061;107944;111344;80
09.01.2020;18:00:00;113569;115105;107930;113240;26
09.01.2020;18:01:00;110892;115247;108049;114937;40
09.01.2020;18:02:00;112975;115265;108147;110815;76
09.01.2020;18:03:00;112902;115271;107985;113906;84
09.01.2020;18:04:00;110977;115262;108106;111617;23
09.01.2020;18:05:00;112634;115161;107939;114089;4
09.01.2020;18:06:00;109384;115163;107976;108743;62
09.01.2020;18:07:00;109059;115294;108009;112438;27
09.01.2020;18:08:00;113056;115154;107941;111992;27
09.01.2020;18:09:00;110823;115186;107984;108125;50
09.01.2020;18:10:00;114133;115256;108127;110747;5
09.01.2020;18:11:00;112931;115274;108370;114694;89
09.01.2020;18:12:00;114965;115281;107907;110427;52
09.01.2020;18:13:00;112374;115145;107915;112076;16
09.01.2020;18:14:00;114952;115285;107947;114311;87
09.01.2020;18:16:00;114472;115131;107941;113009;96
09.01.2020;18:17:00;108548;115286;107907;113506;93
09.01.2020;18:18:00;115280;115280;107937;112360;8
09.01.2020;18:18:59;113000;114867;108050;108654;65
09.01.2020;18:19:59;114446;115274;107948;114906;66
09.01.2020;18:21:00;114948;115217;107974;110256;92
09.01.2020;18:22:00;112902;114851;108069;113913;90
09.01.2020;18:22:59;112743;115296;108202;112591;75
09.01.2020;18:23:59;111429;115109;107920;110090;68
09.01.2020;18:25:00;109917;115236;107935;113433;31
09.01.2020;18:26:00;113216;115187;107921;109613;54
09.01.2020;18:26:59;111403;114810;108048;111938;29
09.01.2020;18:27:59;113553;115144;108218;112230;69
09.01.2020;18:29:00;108182;115092;107934;109490;22
09.01.2020;18:30:00;110419;115019;108193;110915;81
09.01.2020;18:30:59;109559;115026;107923;109766;66
09.01.2020;18:32:00;115226;115226;108261;111126;19
09.01.2020;18:33:00;109267;115096;107939;112747;2
09.01.2020;18:34:00;111006;115244;107900;113988;57
09.01.2020;18:34:59;110686;115229;107932;112134;98
09.01.2020;18:36:00;110132;115197;108002;110771;69
09.01.2020;18:37:00;115102;115237;108165;114703;96
09.01.2020;18:38:00;113081;115231;108039;111030;21
09.01.2020;18:38:59;109194;115288;107977;115266;81
